len_vdo,video_title,web_link,view_count,streaming_time,thumbnail_link
LIVE,Live Mock DSA | GeeksforGeeks,https://www.youtube.com/watch?v=wEQYGf3aBJQ,94 watching,0,https://i.ytimg.com/vi/wEQYGf3aBJQ/hqdefault_live.jpg
59:30,Live Mock DSA | GeeksforGeeks,https://www.youtube.com/watch?v=_NNTQ_zSM0E,2.4K views,Streamed 1 day ago,https://i.ytimg.com/vi/_NNTQ_zSM0E/hqdefault.jpg
SHORTS,AI over developers ? | GeeksforGeeks,https://www.youtube.com/shorts/L-lSt2SEc1U,1.8K views,1 day ago,https://i.ytimg.com/vi/L-lSt2SEc1U/hq720_2.jpg
SHORTS,Biggest Strength of GFG Community Ft. Sandeep Jain #shorts,https://www.youtube.com/shorts/sm2BUwmQOSg,918 views,2 days ago,https://i.ytimg.com/vi/sm2BUwmQOSg/hq720_2.jpg
0:18,Stay Tuned for a Big Surprise!!! | GeeksforGeeks,https://www.youtube.com/watch?v=STVrifPDpVU,1.7K views,2 days ago,https://i.ytimg.com/vi/STVrifPDpVU/hqdefault.jpg
SHORTS,Advices to Start Your Coding Journey | GeeksforGeeks,https://www.youtube.com/shorts/y_KrslEtywk,1.4K views,3 days ago,https://i.ytimg.com/vi/y_KrslEtywk/hq720_2.jpg
SHORTS,What To Do When Stuck In A Coding Problem | GeeksforGeeks,https://www.youtube.com/shorts/-hl9j8bfMMI,2.9K views,4 days ago,https://i.ytimg.com/vi/-hl9j8bfMMI/hq720_2.jpg
SHORTS,Message from Sandeep Sir for Students and Teachers | GeeksforGeeks,https://www.youtube.com/shorts/HSf_IHc6Ea0,3.2K views,5 days ago,https://i.ytimg.com/vi/HSf_IHc6Ea0/hq720_2.jpg
1:07:00,Bits and Manipulation | GeeksforGeeks,https://www.youtube.com/watch?v=qiqrT6xEUGs,4.2K views,Streamed 5 days ago,https://i.ytimg.com/vi/qiqrT6xEUGs/hqdefault.jpg
1:00:37,Live Mock DSA | GeeksforGeeks,https://www.youtube.com/watch?v=4fDtodfEqzY,2.3K views,Streamed 6 days ago,https://i.ytimg.com/vi/4fDtodfEqzY/hqdefault.jpg
1:24,GeeksforGeeks Goes to Delhi Technological University | GfG X DTU,https://www.youtube.com/watch?v=QqHMu9gwlno,1.4K views,7 days ago,https://i.ytimg.com/vi/QqHMu9gwlno/hqdefault.jpg
1:07:52,Job-A-Thon 13 Contest Analysis | Raj Vikramaditya (Striver) | GeeksforGeeks,https://www.youtube.com/watch?v=EkIv4HuGGcQ,11K views,Streamed 8 days ago,https://i.ytimg.com/vi/EkIv4HuGGcQ/hqdefault.jpg
1:03:54,Live Mock DSA | GeeksforGeeks,https://www.youtube.com/watch?v=CFKKCNk-opM,2.6K views,Streamed 8 days ago,
30:45,Roadmap to a CAREER AT WALMART | Preparation Strategies by Walmart SDE | GeeksforGeeks,https://www.youtube.com/watch?v=AQHyMunhc_k,3.7K views,13 days ago,
1:03:52,Live Mock DSA | GeeksforGeeks,https://www.youtube.com/watch?v=P8qLFnD2hdY,3.3K views,Streamed 2 weeks ago,
1:05:49,Live Mock DSA | GeeksforGeeks,https://www.youtube.com/watch?v=o6XaoXh89R8,5.1K views,Streamed 2 weeks ago,
6:02,Roadmap to Web Development | Everything About Web Development Ft. Prakash Sakari,https://www.youtube.com/watch?v=PLdt7UobcoY,1.5K views,2 weeks ago,
SHORTS,Advantages of Joining a Job after graduation | GeeksforGeeks,https://www.youtube.com/shorts/cYqVF04edcE,2.3K views,2 weeks ago,
3:11,Road Map of DSA for Web Development | Everything About Web Development Ft. Prakash Sakari,https://www.youtube.com/watch?v=1b0P4IG7MIc,2K views,2 weeks ago,
8:29,Biggest Coding Mistakes | Everything About Web Development Ft. Prakash Sakari | GeeksforGeeks,https://www.youtube.com/watch?v=cAYfzY-9dao,1.7K views,2 weeks ago,
2:44,Overrated Topics in Web Development | Everything About Web Development Ft. Prakash Sakari,https://www.youtube.com/watch?v=wnwAYPTf9Z8,792 views,2 weeks ago,
1:01:45,Live Mock DSA | GeeksforGeeks,https://www.youtube.com/watch?v=Wc3zJbEkoSo,2.6K views,Streamed 2 weeks ago,
3:57,How Important is UI for Websites? | Everything About Web Development | GeeksforGeeks,https://www.youtube.com/watch?v=imRxEskXGx8,658 views,3 weeks ago,
SHORTS,Why you should Work for a Company before Masters |  GeeksforGeeks,https://www.youtube.com/shorts/z0qlZBEFoHo,3.8K views,3 weeks ago,
3:46,Underrated Topics in Web Development | Everything About Web Development Ft. Prakash Sakari,https://www.youtube.com/watch?v=MvxiK9tfjNw,666 views,3 weeks ago,
49:59,Live Mock DSA | GeeksforGeeks,https://www.youtube.com/watch?v=VQzsnqeWQ8I,2.3K views,Streamed 3 weeks ago,
2:28,Frameworks to Choose for Web Development | Everything About Web Development Ft. Prakash Sakari,https://www.youtube.com/watch?v=UbFk-BTDnqM,881 views,3 weeks ago,
2:21,What is Frontend and Backend? | Everything About Web Development Ft. Prakash Sakari | GeeksforGeeks,https://www.youtube.com/watch?v=xJNtTqSj54M,1.4K views,3 weeks ago,
39:28,A Conversation with your Favourite Teacher- Sandeep Jain Sir | Teacher's Day Special | GeeksforGeeks,https://www.youtube.com/watch?v=-v93MUzFHTs,1.7K views,Streamed 3 weeks ago,
3:00,"Is HTML, CSS and Javascript Enough? | Everything About Web Development Ft. Prakash Sakari",https://www.youtube.com/watch?v=EtZIUwvjzjI,1.5K views,3 weeks ago,
